symbol,time,open,high,low,close,volume
SPY,2026-02-11 09:30:00-05:00,696.44,697.07,696.16,696.96,679613.0
SPY,2026-02-11 09:31:00-05:00,696.94,697.14,696.68,697.05,379248.0
SPY,2026-02-11 09:32:00-05:00,697.05,697.1,696.67,696.91,280871.0
SPY,2026-02-11 09:33:00-05:00,696.9,696.9,696.41,696.6,294606.0
SPY,2026-02-11 09:34:00-05:00,696.6,696.78,696.0,696.11,377404.0
SPY,2026-02-11 09:35:00-05:00,696.12,696.12,695.66,695.93,403156.0
SPY,2026-02-11 09:36:00-05:00,695.94,696.29,695.47,695.51,381389.0
SPY,2026-02-11 09:37:00-05:00,695.51,695.9,695.26,695.86,269123.0
SPY,2026-02-11 09:38:00-05:00,695.88,695.9,695.3,695.45,266275.0
SPY,2026-02-11 09:39:00-05:00,695.44,695.6,695.21,695.3,203244.0
SPY,2026-02-11 09:40:00-05:00,695.31,695.84,695.18,695.48,285872.0
SPY,2026-02-11 09:41:00-05:00,695.48,695.85,695.21,695.61,275383.0
SPY,2026-02-11 09:42:00-05:00,695.58,695.74,695.14,695.3,255725.0
SPY,2026-02-11 09:43:00-05:00,695.29,695.59,695.18,695.33,280863.0
SPY,2026-02-11 09:44:00-05:00,695.32,695.53,695.17,695.41,185608.0
SPY,2026-02-11 09:45:00-05:00,695.42,696.08,695.31,696.08,254911.0
SPY,2026-02-11 09:46:00-05:00,696.08,696.38,695.39,695.53,317871.0
SPY,2026-02-11 09:47:00-05:00,695.53,695.89,695.5,695.67,172400.0
SPY,2026-02-11 09:48:00-05:00,695.65,695.93,695.56,695.86,133558.0
SPY,2026-02-11 09:49:00-05:00,695.87,695.91,695.48,695.65,177672.0
SPY,2026-02-11 09:50:00-05:00,695.64,695.8,694.96,695.04,278666.0
SPY,2026-02-11 09:51:00-05:00,695.03,695.64,694.94,695.35,200944.0
SPY,2026-02-11 09:52:00-05:00,695.38,695.61,695.0,695.23,209396.0
SPY,2026-02-11 09:53:00-05:00,695.23,695.34,694.9,695.28,187252.0
SPY,2026-02-11 09:54:00-05:00,695.29,695.41,694.95,695.12,272021.0
SPY,2026-02-11 09:55:00-05:00,695.11,695.47,694.91,694.91,167190.0
SPY,2026-02-11 09:56:00-05:00,694.91,694.95,694.47,694.68,298571.0
SPY,2026-02-11 09:57:00-05:00,694.69,694.73,693.84,694.42,386446.0
SPY,2026-02-11 09:58:00-05:00,694.41,694.42,693.89,693.9,208971.0
SPY,2026-02-11 09:59:00-05:00,693.9,694.19,693.8,694.12,203712.0
SPY,2026-02-11 10:00:00-05:00,694.13,694.41,694.01,694.17,236714.0
SPY,2026-02-11 10:01:00-05:00,694.19,694.76,694.08,694.37,195802.0
SPY,2026-02-11 10:02:00-05:00,694.38,694.46,693.51,693.54,297002.0
SPY,2026-02-11 10:03:00-05:00,693.54,693.83,693.42,693.62,241102.0
SPY,2026-02-11 10:04:00-05:00,693.63,693.97,693.53,693.69,197717.0
SPY,2026-02-11 10:05:00-05:00,693.7,693.8,693.29,693.74,307334.0
SPY,2026-02-11 10:06:00-05:00,693.73,693.76,693.33,693.48,219671.0
SPY,2026-02-11 10:07:00-05:00,693.47,693.52,693.18,693.32,154039.0
SPY,2026-02-11 10:08:00-05:00,693.33,693.5,693.08,693.12,163634.0
SPY,2026-02-11 10:09:00-05:00,693.11,693.11,692.67,692.67,311195.0
SPY,2026-02-11 10:10:00-05:00,692.67,692.75,692.32,692.61,302708.0
SPY,2026-02-11 10:11:00-05:00,692.6,692.62,691.99,692.05,311960.0
SPY,2026-02-11 10:12:00-05:00,692.04,692.07,691.28,691.46,426144.0
SPY,2026-02-11 10:13:00-05:00,691.46,691.57,690.83,691.02,425776.0
SPY,2026-02-11 10:14:00-05:00,691.03,691.89,690.87,691.75,553062.0
SPY,2026-02-11 10:15:00-05:00,691.75,691.94,691.33,691.39,414173.0
SPY,2026-02-11 10:16:00-05:00,691.39,691.53,691.05,691.2,237232.0
SPY,2026-02-11 10:17:00-05:00,691.17,691.58,691.15,691.31,263190.0
SPY,2026-02-11 10:18:00-05:00,691.3,691.39,690.66,691.29,287134.0
SPY,2026-02-11 10:19:00-05:00,691.3,691.32,690.69,690.77,328029.0
SPY,2026-02-11 10:20:00-05:00,690.78,690.86,690.21,690.24,358868.0
SPY,2026-02-11 10:21:00-05:00,690.24,690.59,690.0,690.4,404407.0
SPY,2026-02-11 10:22:00-05:00,690.4,690.75,690.12,690.26,349729.0
SPY,2026-02-11 10:23:00-05:00,690.26,690.58,689.88,690.03,273351.0
SPY,2026-02-11 10:24:00-05:00,690.04,690.11,689.37,689.59,358634.0
SPY,2026-02-11 10:25:00-05:00,689.58,689.97,689.39,689.48,385777.0
SPY,2026-02-11 10:26:00-05:00,689.46,689.82,689.18,689.59,456624.0
SPY,2026-02-11 10:27:00-05:00,689.59,689.92,689.3,689.59,373999.0
SPY,2026-02-11 10:28:00-05:00,689.64,690.46,689.59,690.0,432762.0
SPY,2026-02-11 10:29:00-05:00,689.98,690.46,689.68,689.72,367020.0
SPY,2026-02-11 10:30:00-05:00,689.72,690.0,689.56,689.93,287937.0
SPY,2026-02-11 10:31:00-05:00,689.97,690.52,689.74,690.46,408184.0
SPY,2026-02-11 10:32:00-05:00,690.45,690.71,690.23,690.67,388440.0
SPY,2026-02-11 10:33:00-05:00,690.66,690.71,690.08,690.52,291899.0
SPY,2026-02-11 10:34:00-05:00,690.52,690.8,690.41,690.74,246619.0
SPY,2026-02-11 10:35:00-05:00,690.74,691.15,690.67,691.04,300484.0
SPY,2026-02-11 10:36:00-05:00,691.04,691.35,690.81,690.83,278407.0
SPY,2026-02-11 10:37:00-05:00,690.85,690.98,690.26,690.72,252479.0
SPY,2026-02-11 10:38:00-05:00,690.75,691.21,690.6,691.15,200163.0
SPY,2026-02-11 10:39:00-05:00,691.16,691.39,691.03,691.3,161621.0
SPY,2026-02-11 10:40:00-05:00,691.33,691.61,691.26,691.56,214499.0
SPY,2026-02-11 10:41:00-05:00,691.56,691.74,691.34,691.34,163002.0
SPY,2026-02-11 10:42:00-05:00,691.34,691.45,691.01,691.33,159260.0
SPY,2026-02-11 10:43:00-05:00,691.35,691.52,690.72,690.87,213584.0
SPY,2026-02-11 10:44:00-05:00,690.89,691.44,690.84,691.21,128228.0
SPY,2026-02-11 10:45:00-05:00,691.2,691.69,691.16,691.28,207742.0
SPY,2026-02-11 10:46:00-05:00,691.29,691.53,691.01,691.02,207452.0
SPY,2026-02-11 10:47:00-05:00,691.03,691.22,690.87,691.04,177766.0
SPY,2026-02-11 10:48:00-05:00,691.08,691.09,690.72,690.74,153159.0
SPY,2026-02-11 10:49:00-05:00,690.76,690.82,690.37,690.49,250171.0
SPY,2026-02-11 10:50:00-05:00,690.47,690.78,690.25,690.6,201523.0
SPY,2026-02-11 10:51:00-05:00,690.61,691.31,690.55,691.19,226352.0
SPY,2026-02-11 10:52:00-05:00,691.19,691.84,691.15,691.8,290869.0
SPY,2026-02-11 10:53:00-05:00,691.78,692.33,691.77,692.15,305186.0
SPY,2026-02-11 10:54:00-05:00,692.14,692.54,692.1,692.46,186529.0
SPY,2026-02-11 10:55:00-05:00,692.47,692.62,692.34,692.5,198308.0
SPY,2026-02-11 10:56:00-05:00,692.49,692.61,692.22,692.39,143699.0
SPY,2026-02-11 10:57:00-05:00,692.35,692.61,692.22,692.25,165491.0
SPY,2026-02-11 10:58:00-05:00,692.25,692.45,692.13,692.45,229143.0
SPY,2026-02-11 10:59:00-05:00,692.44,692.5,692.19,692.35,73759.0
SPY,2026-02-11 11:00:00-05:00,692.33,692.67,692.2,692.38,155176.0
SPY,2026-02-11 11:01:00-05:00,692.38,692.6,692.28,692.52,99317.0
SPY,2026-02-11 11:02:00-05:00,692.51,692.66,692.03,692.04,128992.0
SPY,2026-02-11 11:03:00-05:00,692.03,692.13,691.62,691.65,146835.0
SPY,2026-02-11 11:04:00-05:00,691.65,691.93,691.6,691.8,116986.0
SPY,2026-02-11 11:05:00-05:00,691.81,691.98,691.65,691.75,126290.0
SPY,2026-02-11 11:06:00-05:00,691.76,691.91,691.49,691.75,101501.0
SPY,2026-02-11 11:07:00-05:00,691.75,691.84,691.54,691.67,101983.0
SPY,2026-02-11 11:08:00-05:00,691.67,691.74,691.48,691.61,78246.0
SPY,2026-02-11 11:09:00-05:00,691.6,691.85,691.38,691.48,104912.0
SPY,2026-02-11 11:10:00-05:00,691.48,692.55,691.42,692.25,207260.0
SPY,2026-02-11 11:11:00-05:00,692.26,692.52,691.9,692.52,145659.0
SPY,2026-02-11 11:12:00-05:00,692.54,692.6,692.31,692.59,106776.0
SPY,2026-02-11 11:13:00-05:00,692.59,692.85,692.57,692.81,128285.0
SPY,2026-02-11 11:14:00-05:00,692.84,692.93,692.64,692.82,100896.0
SPY,2026-02-11 11:15:00-05:00,692.82,692.85,692.4,692.53,105309.0
SPY,2026-02-11 11:16:00-05:00,692.5,692.77,692.46,692.7,88420.0
SPY,2026-02-11 11:17:00-05:00,692.7,692.94,692.6,692.7,90171.0
SPY,2026-02-11 11:18:00-05:00,692.7,692.71,692.35,692.52,102679.0
SPY,2026-02-11 11:19:00-05:00,692.52,692.86,692.45,692.84,99566.0
SPY,2026-02-11 11:20:00-05:00,692.85,693.02,692.81,692.94,118609.0
SPY,2026-02-11 11:21:00-05:00,692.94,693.1,692.82,692.86,105637.0
SPY,2026-02-11 11:22:00-05:00,692.85,693.26,692.7,693.23,131197.0
SPY,2026-02-11 11:23:00-05:00,693.23,693.37,693.17,693.24,174248.0
SPY,2026-02-11 11:24:00-05:00,693.24,693.45,693.24,693.3,114432.0
SPY,2026-02-11 11:25:00-05:00,693.29,693.41,693.0,693.01,111085.0
SPY,2026-02-11 11:26:00-05:00,693.02,693.02,692.5,692.62,200799.0
SPY,2026-02-11 11:27:00-05:00,692.63,692.64,692.19,692.19,155954.0
SPY,2026-02-11 11:28:00-05:00,692.18,692.43,691.98,692.16,157059.0
SPY,2026-02-11 11:29:00-05:00,692.17,692.17,691.82,691.84,177384.0
SPY,2026-02-11 11:30:00-05:00,691.82,692.3,691.5,692.26,220531.0
SPY,2026-02-11 11:31:00-05:00,692.26,692.31,691.97,692.09,144308.0
SPY,2026-02-11 11:32:00-05:00,692.08,692.24,691.85,691.87,137884.0
SPY,2026-02-11 11:33:00-05:00,691.94,692.69,691.9,692.61,116875.0
SPY,2026-02-11 11:34:00-05:00,692.62,692.62,692.21,692.42,134529.0
SPY,2026-02-11 11:35:00-05:00,692.42,692.56,692.11,692.14,121751.0
SPY,2026-02-11 11:36:00-05:00,692.14,692.45,692.01,692.03,119444.0
SPY,2026-02-11 11:37:00-05:00,692.01,692.35,691.95,692.17,86539.0
SPY,2026-02-11 11:38:00-05:00,692.19,692.67,692.14,692.25,147065.0
SPY,2026-02-11 11:39:00-05:00,692.29,692.78,692.23,692.77,88807.0
SPY,2026-02-11 11:40:00-05:00,692.77,693.35,692.75,693.33,181146.0
SPY,2026-02-11 11:41:00-05:00,693.32,693.35,693.03,693.06,121602.0
SPY,2026-02-11 11:42:00-05:00,693.09,693.15,692.92,693.12,106642.0
SPY,2026-02-11 11:43:00-05:00,693.13,693.15,692.87,692.9,75442.0
SPY,2026-02-11 11:44:00-05:00,692.88,693.19,692.72,693.0,75633.0
SPY,2026-02-11 11:45:00-05:00,693.0,693.11,692.81,693.0,85588.0
SPY,2026-02-11 11:46:00-05:00,693.01,693.2,692.87,693.18,112532.0
SPY,2026-02-11 11:47:00-05:00,693.2,693.32,693.03,693.05,89811.0
SPY,2026-02-11 11:48:00-05:00,693.07,693.1,692.75,692.76,91815.0
SPY,2026-02-11 11:49:00-05:00,692.76,692.94,692.49,692.66,161293.0
SPY,2026-02-11 11:50:00-05:00,692.66,692.7,692.46,692.47,113744.0
SPY,2026-02-11 11:51:00-05:00,692.45,692.92,692.41,692.76,113859.0
SPY,2026-02-11 11:52:00-05:00,692.75,693.0,692.6,692.96,75043.0
SPY,2026-02-11 11:53:00-05:00,692.94,693.02,692.73,692.83,93435.0
SPY,2026-02-11 11:54:00-05:00,692.84,692.92,692.73,692.74,59646.0
SPY,2026-02-11 11:55:00-05:00,692.73,692.81,692.59,692.68,75974.0
SPY,2026-02-11 11:56:00-05:00,692.68,692.71,692.2,692.35,163489.0
SPY,2026-02-11 11:57:00-05:00,692.36,692.52,692.19,692.24,74525.0
SPY,2026-02-11 11:58:00-05:00,692.23,692.41,692.1,692.15,122233.0
SPY,2026-02-11 11:59:00-05:00,692.19,692.23,691.99,692.07,83385.0
SPY,2026-02-11 12:00:00-05:00,692.05,692.13,691.82,692.02,146472.0
SPY,2026-02-11 12:01:00-05:00,692.03,692.12,691.53,691.67,180241.0
SPY,2026-02-11 12:02:00-05:00,691.66,691.81,691.39,691.76,289976.0
SPY,2026-02-11 12:03:00-05:00,691.77,691.94,691.57,691.68,141160.0
SPY,2026-02-11 12:04:00-05:00,691.7,691.95,691.48,691.49,96013.0
SPY,2026-02-11 12:05:00-05:00,691.49,691.71,691.45,691.58,96032.0
SPY,2026-02-11 12:06:00-05:00,691.58,691.78,691.53,691.68,95956.0
SPY,2026-02-11 12:07:00-05:00,691.7,691.93,691.57,691.81,91201.0
SPY,2026-02-11 12:08:00-05:00,691.81,692.14,691.73,692.08,103025.0
SPY,2026-02-11 12:09:00-05:00,692.08,692.4,692.04,692.37,121446.0
SPY,2026-02-11 12:10:00-05:00,692.36,692.47,692.21,692.27,77687.0
SPY,2026-02-11 12:11:00-05:00,692.29,692.57,691.98,692.0,101233.0
SPY,2026-02-11 12:12:00-05:00,692.01,692.58,692.01,692.55,110572.0
SPY,2026-02-11 12:13:00-05:00,692.55,692.6,692.36,692.36,57596.0
SPY,2026-02-11 12:14:00-05:00,692.38,692.57,692.23,692.35,55058.0
SPY,2026-02-11 12:15:00-05:00,692.37,692.44,692.09,692.24,43922.0
SPY,2026-02-11 12:16:00-05:00,692.24,692.77,692.11,692.73,104917.0
SPY,2026-02-11 12:17:00-05:00,692.74,693.04,692.68,692.74,116081.0
SPY,2026-02-11 12:18:00-05:00,692.75,692.88,692.49,692.57,268891.0
SPY,2026-02-11 12:19:00-05:00,692.59,692.64,692.39,692.6,257294.0
SPY,2026-02-11 12:20:00-05:00,692.59,692.77,692.2,692.29,83819.0
SPY,2026-02-11 12:21:00-05:00,692.31,692.56,692.25,692.52,89245.0
SPY,2026-02-11 12:22:00-05:00,692.52,692.96,692.49,692.94,88077.0
SPY,2026-02-11 12:23:00-05:00,692.94,693.08,692.81,692.92,91763.0
SPY,2026-02-11 12:24:00-05:00,692.92,693.17,692.92,693.12,99399.0
SPY,2026-02-11 12:25:00-05:00,693.13,693.72,693.13,693.6,246341.0
SPY,2026-02-11 12:26:00-05:00,693.6,693.84,693.55,693.78,157993.0
SPY,2026-02-11 12:27:00-05:00,693.77,693.81,693.46,693.47,213422.0
SPY,2026-02-11 12:28:00-05:00,693.5,693.64,693.35,693.63,106978.0
SPY,2026-02-11 12:29:00-05:00,693.64,693.7,693.48,693.6,53417.0
SPY,2026-02-11 12:30:00-05:00,693.6,693.65,693.24,693.31,110194.0
SPY,2026-02-11 12:31:00-05:00,693.31,693.43,693.26,693.32,95928.0
SPY,2026-02-11 12:32:00-05:00,693.31,693.41,693.11,693.19,76081.0
SPY,2026-02-11 12:33:00-05:00,693.21,693.48,693.11,693.47,70817.0
SPY,2026-02-11 12:34:00-05:00,693.48,693.53,693.14,693.24,109052.0
SPY,2026-02-11 12:35:00-05:00,693.24,693.37,693.15,693.24,57685.0
SPY,2026-02-11 12:36:00-05:00,693.25,693.25,693.02,693.17,48335.0
SPY,2026-02-11 12:37:00-05:00,693.17,693.36,693.01,693.32,49343.0
SPY,2026-02-11 12:38:00-05:00,693.32,693.36,693.0,693.27,59735.0
SPY,2026-02-11 12:39:00-05:00,693.27,693.44,693.21,693.24,88176.0
SPY,2026-02-11 12:40:00-05:00,693.23,693.56,693.23,693.55,64241.0
SPY,2026-02-11 12:41:00-05:00,693.55,693.58,693.37,693.45,86557.0
SPY,2026-02-11 12:42:00-05:00,693.45,693.6,693.36,693.58,54289.0
SPY,2026-02-11 12:43:00-05:00,693.58,693.86,693.46,693.72,72901.0
SPY,2026-02-11 12:44:00-05:00,693.72,693.79,693.55,693.72,68723.0
SPY,2026-02-11 12:45:00-05:00,693.74,693.83,693.33,693.44,101319.0
SPY,2026-02-11 12:46:00-05:00,693.46,693.7,693.44,693.67,77017.0
SPY,2026-02-11 12:47:00-05:00,693.66,693.67,693.44,693.62,46700.0
SPY,2026-02-11 12:48:00-05:00,693.62,693.74,693.5,693.61,54800.0
SPY,2026-02-11 12:49:00-05:00,693.61,693.83,693.61,693.69,54487.0
SPY,2026-02-11 12:50:00-05:00,693.69,693.76,693.54,693.58,62183.0
SPY,2026-02-11 12:51:00-05:00,693.56,693.99,693.49,693.76,101859.0
SPY,2026-02-11 12:52:00-05:00,693.75,693.8,693.54,693.56,66172.0
SPY,2026-02-11 12:53:00-05:00,693.56,693.58,693.33,693.46,56503.0
SPY,2026-02-11 12:54:00-05:00,693.48,693.56,693.35,693.55,53936.0
SPY,2026-02-11 12:55:00-05:00,693.55,693.57,693.13,693.13,56360.0
SPY,2026-02-11 12:56:00-05:00,693.12,693.22,692.97,692.98,71638.0
SPY,2026-02-11 12:57:00-05:00,692.98,693.13,692.72,692.78,63513.0
SPY,2026-02-11 12:58:00-05:00,692.77,692.87,692.55,692.74,93561.0
SPY,2026-02-11 12:59:00-05:00,692.76,692.84,692.6,692.77,90853.0
SPY,2026-02-11 13:00:00-05:00,692.77,692.93,692.62,692.84,73618.0
SPY,2026-02-11 13:01:00-05:00,692.86,692.9,692.48,692.53,44422.0
SPY,2026-02-11 13:02:00-05:00,692.54,692.78,692.29,692.68,136990.0
SPY,2026-02-11 13:03:00-05:00,692.67,692.98,692.6,692.73,93468.0
SPY,2026-02-11 13:04:00-05:00,692.73,692.82,692.6,692.61,97995.0
SPY,2026-02-11 13:05:00-05:00,692.61,692.66,692.34,692.36,90961.0
SPY,2026-02-11 13:06:00-05:00,692.36,692.55,692.16,692.18,61331.0
SPY,2026-02-11 13:07:00-05:00,692.19,692.36,692.09,692.3,126638.0
SPY,2026-02-11 13:08:00-05:00,692.3,692.34,692.13,692.24,119879.0
SPY,2026-02-11 13:09:00-05:00,692.25,692.28,692.03,692.05,84911.0
SPY,2026-02-11 13:10:00-05:00,692.04,692.04,691.64,691.72,174306.0
SPY,2026-02-11 13:11:00-05:00,691.72,691.99,691.58,691.85,135304.0
SPY,2026-02-11 13:12:00-05:00,691.85,691.92,691.73,691.76,136078.0
SPY,2026-02-11 13:13:00-05:00,691.75,691.9,691.6,691.75,157259.0
SPY,2026-02-11 13:14:00-05:00,691.76,691.76,691.52,691.65,187587.0
SPY,2026-02-11 13:15:00-05:00,691.64,691.7,691.41,691.5,263976.0
SPY,2026-02-11 13:16:00-05:00,691.51,692.21,691.47,692.17,177720.0
SPY,2026-02-11 13:17:00-05:00,692.17,692.28,692.03,692.24,313871.0
SPY,2026-02-11 13:18:00-05:00,692.24,692.51,692.18,692.35,206999.0
SPY,2026-02-11 13:19:00-05:00,692.36,692.47,691.95,692.1,193243.0
SPY,2026-02-11 13:20:00-05:00,692.08,692.1,691.87,691.9,43326.0
SPY,2026-02-11 13:21:00-05:00,691.91,692.02,691.85,691.9,90546.0
SPY,2026-02-11 13:22:00-05:00,691.9,692.23,691.88,692.18,86380.0
SPY,2026-02-11 13:23:00-05:00,692.18,692.25,692.01,692.15,65347.0
SPY,2026-02-11 13:24:00-05:00,692.14,692.4,692.12,692.23,74174.0
SPY,2026-02-11 13:25:00-05:00,692.21,692.29,692.06,692.17,52790.0
SPY,2026-02-11 13:26:00-05:00,692.16,692.28,692.05,692.19,38900.0
SPY,2026-02-11 13:27:00-05:00,692.19,692.6,692.15,692.56,95960.0
SPY,2026-02-11 13:28:00-05:00,692.55,692.88,692.55,692.83,108731.0
SPY,2026-02-11 13:29:00-05:00,692.82,692.83,692.57,692.79,78998.0
SPY,2026-02-11 13:30:00-05:00,692.79,693.01,692.63,692.64,120061.0
SPY,2026-02-11 13:31:00-05:00,692.64,692.77,692.5,692.57,62940.0
SPY,2026-02-11 13:32:00-05:00,692.51,692.6,692.33,692.5,80175.0
SPY,2026-02-11 13:33:00-05:00,692.53,692.65,692.47,692.52,80734.0
SPY,2026-02-11 13:34:00-05:00,692.52,692.56,692.29,692.29,152949.0
SPY,2026-02-11 13:35:00-05:00,692.3,692.65,692.22,692.39,79561.0
SPY,2026-02-11 13:36:00-05:00,692.4,692.52,692.24,692.48,60043.0
SPY,2026-02-11 13:37:00-05:00,692.46,692.58,692.38,692.45,59166.0
SPY,2026-02-11 13:38:00-05:00,692.46,692.75,692.33,692.68,86157.0
SPY,2026-02-11 13:39:00-05:00,692.69,692.82,692.67,692.75,88315.0
SPY,2026-02-11 13:40:00-05:00,692.73,692.74,692.29,692.34,97272.0
SPY,2026-02-11 13:41:00-05:00,692.34,692.4,692.16,692.27,76008.0
SPY,2026-02-11 13:42:00-05:00,692.29,692.44,692.2,692.44,78197.0
SPY,2026-02-11 13:43:00-05:00,692.44,692.57,692.24,692.36,65363.0
SPY,2026-02-11 13:44:00-05:00,692.37,692.45,692.19,692.41,66598.0
SPY,2026-02-11 13:45:00-05:00,692.42,692.55,692.38,692.48,68092.0
