symbol,time,open,high,low,close,volume
SPY,2026-02-10 09:30:00-05:00,694.95,695.5,694.8,695.14,595773.0
SPY,2026-02-10 09:31:00-05:00,695.17,695.55,695.06,695.27,350081.0
SPY,2026-02-10 09:32:00-05:00,695.27,695.44,695.01,695.23,363327.0
SPY,2026-02-10 09:33:00-05:00,695.26,695.32,694.91,694.95,367556.0
SPY,2026-02-10 09:34:00-05:00,694.95,695.34,694.9,695.05,336550.0
SPY,2026-02-10 09:35:00-05:00,695.05,695.14,694.85,694.91,308683.0
SPY,2026-02-10 09:36:00-05:00,694.92,694.95,694.38,694.52,352912.0
SPY,2026-02-10 09:37:00-05:00,694.54,694.56,694.05,694.08,298608.0
SPY,2026-02-10 09:38:00-05:00,694.08,694.15,693.76,693.96,323687.0
SPY,2026-02-10 09:39:00-05:00,693.97,694.64,693.91,694.37,264119.0
SPY,2026-02-10 09:40:00-05:00,694.38,694.45,694.05,694.25,307416.0
SPY,2026-02-10 09:41:00-05:00,694.23,694.23,693.88,694.0,274675.0
SPY,2026-02-10 09:42:00-05:00,693.98,694.0,693.45,693.51,270332.0
SPY,2026-02-10 09:43:00-05:00,693.5,694.03,693.48,693.91,202938.0
SPY,2026-02-10 09:44:00-05:00,693.93,694.07,693.76,693.99,160445.0
SPY,2026-02-10 09:45:00-05:00,694.0,694.07,693.72,693.85,215554.0
SPY,2026-02-10 09:46:00-05:00,693.84,694.19,693.76,694.0,189560.0
SPY,2026-02-10 09:47:00-05:00,694.01,694.2,693.64,693.68,182533.0
SPY,2026-02-10 09:48:00-05:00,693.72,694.24,693.71,693.76,190956.0
SPY,2026-02-10 09:49:00-05:00,693.76,693.94,693.64,693.94,145160.0
SPY,2026-02-10 09:50:00-05:00,693.94,694.57,693.92,694.56,260273.0
SPY,2026-02-10 09:51:00-05:00,694.55,694.68,694.29,694.63,177390.0
SPY,2026-02-10 09:52:00-05:00,694.63,694.85,694.36,694.82,218062.0
SPY,2026-02-10 09:53:00-05:00,694.81,695.05,694.69,694.99,216192.0
SPY,2026-02-10 09:54:00-05:00,694.98,695.37,694.82,695.37,207175.0
SPY,2026-02-10 09:55:00-05:00,695.38,695.82,695.21,695.72,244298.0
SPY,2026-02-10 09:56:00-05:00,695.71,695.84,695.61,695.7,221916.0
SPY,2026-02-10 09:57:00-05:00,695.7,695.87,695.59,695.87,127699.0
SPY,2026-02-10 09:58:00-05:00,695.88,696.16,695.84,696.07,249763.0
SPY,2026-02-10 09:59:00-05:00,696.07,696.08,695.71,695.75,197327.0
SPY,2026-02-10 10:00:00-05:00,695.74,695.83,695.51,695.59,153493.0
SPY,2026-02-10 10:01:00-05:00,695.6,695.8,695.59,695.79,123379.0
SPY,2026-02-10 10:02:00-05:00,695.78,695.82,695.61,695.78,151170.0
SPY,2026-02-10 10:03:00-05:00,695.78,695.79,695.5,695.64,87633.0
SPY,2026-02-10 10:04:00-05:00,695.63,695.83,695.59,695.81,84415.0
SPY,2026-02-10 10:05:00-05:00,695.81,695.86,695.69,695.77,74812.0
SPY,2026-02-10 10:06:00-05:00,695.77,696.41,695.56,696.27,235064.0
SPY,2026-02-10 10:07:00-05:00,696.27,696.4,696.06,696.25,187146.0
SPY,2026-02-10 10:08:00-05:00,696.26,696.44,696.26,696.3,132052.0
SPY,2026-02-10 10:09:00-05:00,696.3,696.3,696.06,696.2,125143.0
SPY,2026-02-10 10:10:00-05:00,696.21,696.37,696.08,696.33,138579.0
SPY,2026-02-10 10:11:00-05:00,696.33,696.36,696.1,696.15,142320.0
SPY,2026-02-10 10:12:00-05:00,696.14,696.17,695.83,695.88,165326.0
SPY,2026-02-10 10:13:00-05:00,695.89,695.93,694.82,694.86,264158.0
SPY,2026-02-10 10:14:00-05:00,694.85,695.44,694.71,695.41,225331.0
SPY,2026-02-10 10:15:00-05:00,695.41,695.44,694.96,695.01,161370.0
SPY,2026-02-10 10:16:00-05:00,695.02,695.33,694.97,695.26,141229.0
SPY,2026-02-10 10:17:00-05:00,695.27,695.34,695.06,695.29,146096.0
SPY,2026-02-10 10:18:00-05:00,695.27,696.06,695.16,696.02,194922.0
SPY,2026-02-10 10:19:00-05:00,696.01,696.04,695.69,696.02,139454.0
SPY,2026-02-10 10:20:00-05:00,696.03,696.13,695.84,696.06,190178.0
SPY,2026-02-10 10:21:00-05:00,696.05,696.31,696.03,696.17,146683.0
SPY,2026-02-10 10:22:00-05:00,696.17,696.39,696.09,696.29,91388.0
SPY,2026-02-10 10:23:00-05:00,696.28,696.36,695.99,696.15,97004.0
SPY,2026-02-10 10:24:00-05:00,696.13,696.15,695.43,695.47,183957.0
SPY,2026-02-10 10:25:00-05:00,695.47,695.68,695.31,695.53,162700.0
SPY,2026-02-10 10:26:00-05:00,695.52,695.87,695.41,695.85,94363.0
SPY,2026-02-10 10:27:00-05:00,695.86,696.01,695.72,696.0,122243.0
SPY,2026-02-10 10:28:00-05:00,695.99,696.06,695.8,695.93,75962.0
SPY,2026-02-10 10:29:00-05:00,695.94,695.99,695.82,695.92,64417.0
SPY,2026-02-10 10:30:00-05:00,695.91,696.26,695.65,696.26,193811.0
SPY,2026-02-10 10:31:00-05:00,696.25,696.54,696.2,696.33,266150.0
SPY,2026-02-10 10:32:00-05:00,696.31,696.41,696.26,696.37,78575.0
SPY,2026-02-10 10:33:00-05:00,696.37,696.45,696.06,696.1,125033.0
SPY,2026-02-10 10:34:00-05:00,696.09,696.11,695.84,695.92,99676.0
SPY,2026-02-10 10:35:00-05:00,695.93,695.95,695.7,695.79,103005.0
SPY,2026-02-10 10:36:00-05:00,695.77,695.89,695.56,695.88,115531.0
SPY,2026-02-10 10:37:00-05:00,695.88,695.88,695.35,695.44,117955.0
SPY,2026-02-10 10:38:00-05:00,695.45,695.78,695.44,695.74,94645.0
SPY,2026-02-10 10:39:00-05:00,695.74,695.78,695.6,695.61,63879.0
SPY,2026-02-10 10:40:00-05:00,695.61,695.92,695.58,695.76,124120.0
SPY,2026-02-10 10:41:00-05:00,695.75,695.87,695.68,695.81,77612.0
SPY,2026-02-10 10:42:00-05:00,695.8,695.94,695.8,695.89,60830.0
SPY,2026-02-10 10:43:00-05:00,695.88,696.01,695.71,696.01,83080.0
SPY,2026-02-10 10:44:00-05:00,695.98,696.17,695.95,696.07,82739.0
SPY,2026-02-10 10:45:00-05:00,696.07,696.08,695.9,695.97,55620.0
SPY,2026-02-10 10:46:00-05:00,695.97,696.15,695.89,696.13,73709.0
SPY,2026-02-10 10:47:00-05:00,696.12,696.21,695.9,695.96,79474.0
SPY,2026-02-10 10:48:00-05:00,695.97,696.09,695.61,695.7,71699.0
SPY,2026-02-10 10:49:00-05:00,695.68,695.78,695.46,695.72,116942.0
SPY,2026-02-10 10:50:00-05:00,695.69,695.77,695.53,695.68,59692.0
SPY,2026-02-10 10:51:00-05:00,695.67,695.83,695.43,695.44,105911.0
SPY,2026-02-10 10:52:00-05:00,695.45,695.68,695.29,695.68,85770.0
SPY,2026-02-10 10:53:00-05:00,695.65,695.65,695.5,695.6,48036.0
SPY,2026-02-10 10:54:00-05:00,695.6,695.67,695.48,695.67,50859.0
SPY,2026-02-10 10:55:00-05:00,695.66,695.74,695.43,695.44,53800.0
SPY,2026-02-10 10:56:00-05:00,695.44,695.48,694.91,694.98,142666.0
SPY,2026-02-10 10:57:00-05:00,694.97,695.51,694.95,695.51,123184.0
SPY,2026-02-10 10:58:00-05:00,695.51,695.69,695.49,695.66,142765.0
SPY,2026-02-10 10:59:00-05:00,695.65,695.72,695.37,695.39,73574.0
SPY,2026-02-10 11:00:00-05:00,695.4,695.56,695.26,695.53,69777.0
SPY,2026-02-10 11:01:00-05:00,695.51,695.56,695.32,695.35,61704.0
SPY,2026-02-10 11:02:00-05:00,695.34,695.67,695.33,695.37,82001.0
SPY,2026-02-10 11:03:00-05:00,695.38,695.43,695.13,695.3,93186.0
SPY,2026-02-10 11:04:00-05:00,695.31,695.5,695.29,695.38,55898.0
