symbol,time,open,high,low,close,volume
SPY,2026-01-28 09:30:00-05:00,697.06,697.6,697.01,697.48,778490.0
SPY,2026-01-28 09:31:00-05:00,697.49,697.7,697.38,697.62,278356.0
SPY,2026-01-28 09:32:00-05:00,697.64,697.65,697.34,697.37,317402.0
SPY,2026-01-28 09:33:00-05:00,697.37,697.46,697.16,697.44,285293.0
SPY,2026-01-28 09:34:00-05:00,697.44,697.45,697.17,697.35,267370.0
SPY,2026-01-28 09:35:00-05:00,697.34,697.53,697.31,697.35,306386.0
SPY,2026-01-28 09:36:00-05:00,697.36,697.36,696.99,697.08,387050.0
SPY,2026-01-28 09:37:00-05:00,697.08,697.17,696.95,696.96,284129.0
SPY,2026-01-28 09:38:00-05:00,696.96,697.2,696.95,697.12,223374.0
SPY,2026-01-28 09:39:00-05:00,697.13,697.27,696.98,697.13,188011.0
SPY,2026-01-28 09:40:00-05:00,697.13,697.29,697.08,697.14,235160.0
SPY,2026-01-28 09:41:00-05:00,697.13,697.39,697.07,697.35,219210.0
SPY,2026-01-28 09:42:00-05:00,697.36,697.55,697.3,697.54,251331.0
SPY,2026-01-28 09:43:00-05:00,697.51,697.56,697.35,697.44,231176.0
SPY,2026-01-28 09:44:00-05:00,697.44,697.7,697.31,697.65,207519.0
SPY,2026-01-28 09:45:00-05:00,697.64,697.84,697.64,697.8,315000.0
SPY,2026-01-28 09:46:00-05:00,697.82,697.83,697.53,697.56,235288.0
SPY,2026-01-28 09:47:00-05:00,697.55,697.56,697.03,697.07,229297.0
SPY,2026-01-28 09:48:00-05:00,697.08,697.16,696.9,697.08,279555.0
SPY,2026-01-28 09:49:00-05:00,697.09,697.28,697.05,697.17,149570.0
SPY,2026-01-28 09:50:00-05:00,697.16,697.46,697.1,697.29,174964.0
SPY,2026-01-28 09:51:00-05:00,697.29,697.41,697.18,697.38,139050.0
SPY,2026-01-28 09:52:00-05:00,697.38,697.58,697.37,697.58,109380.0
SPY,2026-01-28 09:53:00-05:00,697.6,697.67,697.35,697.41,136323.0
SPY,2026-01-28 09:54:00-05:00,697.41,697.71,697.29,697.69,119649.0
SPY,2026-01-28 09:55:00-05:00,697.69,697.7,697.44,697.63,177720.0
SPY,2026-01-28 09:56:00-05:00,697.65,697.68,697.5,697.56,187434.0
SPY,2026-01-28 09:57:00-05:00,697.55,697.56,697.41,697.54,138024.0
SPY,2026-01-28 09:58:00-05:00,697.54,697.55,697.32,697.42,126616.0
SPY,2026-01-28 09:59:00-05:00,697.42,697.44,697.07,697.12,117245.0
SPY,2026-01-28 10:00:00-05:00,697.11,697.23,697.03,697.05,138945.0
SPY,2026-01-28 10:01:00-05:00,697.06,697.11,696.97,697.01,178897.0
SPY,2026-01-28 10:02:00-05:00,697.01,697.32,696.79,697.22,259387.0
SPY,2026-01-28 10:03:00-05:00,697.21,697.27,697.07,697.1,121416.0
SPY,2026-01-28 10:04:00-05:00,697.12,697.18,697.02,697.02,99190.0
SPY,2026-01-28 10:05:00-05:00,697.03,697.08,696.87,696.89,109353.0
SPY,2026-01-28 10:06:00-05:00,696.9,697.05,696.83,696.83,133540.0
SPY,2026-01-28 10:07:00-05:00,696.84,696.88,696.71,696.81,187470.0
SPY,2026-01-28 10:08:00-05:00,696.82,697.01,696.69,696.71,187022.0
SPY,2026-01-28 10:09:00-05:00,696.72,696.72,696.46,696.62,179241.0
SPY,2026-01-28 10:10:00-05:00,696.61,696.65,696.32,696.37,213940.0
SPY,2026-01-28 10:11:00-05:00,696.38,696.55,696.34,696.41,211961.0
SPY,2026-01-28 10:12:00-05:00,696.42,696.47,696.19,696.26,156599.0
SPY,2026-01-28 10:13:00-05:00,696.27,696.4,696.22,696.24,162874.0
SPY,2026-01-28 10:14:00-05:00,696.23,696.26,696.1,696.11,162685.0
SPY,2026-01-28 10:15:00-05:00,696.12,696.68,696.03,696.47,325654.0
SPY,2026-01-28 10:16:00-05:00,696.46,696.8,696.42,696.63,167454.0
SPY,2026-01-28 10:17:00-05:00,696.64,696.64,696.32,696.39,91387.0
SPY,2026-01-28 10:18:00-05:00,696.39,696.4,696.24,696.33,73712.0
SPY,2026-01-28 10:19:00-05:00,696.33,696.56,696.25,696.53,121217.0
SPY,2026-01-28 10:20:00-05:00,696.53,696.86,696.49,696.82,140133.0
SPY,2026-01-28 10:21:00-05:00,696.82,696.86,696.7,696.81,97360.0
SPY,2026-01-28 10:22:00-05:00,696.82,696.91,696.63,696.81,93547.0
SPY,2026-01-28 10:23:00-05:00,696.82,696.99,696.73,696.87,113758.0
SPY,2026-01-28 10:24:00-05:00,696.88,697.1,696.87,696.9,80876.0
SPY,2026-01-28 10:25:00-05:00,696.91,696.93,696.53,696.59,109941.0
SPY,2026-01-28 10:26:00-05:00,696.59,696.7,696.52,696.6,76374.0
SPY,2026-01-28 10:27:00-05:00,696.61,696.68,696.51,696.57,81127.0
SPY,2026-01-28 10:28:00-05:00,696.58,696.65,696.52,696.55,87593.0
SPY,2026-01-28 10:29:00-05:00,696.57,696.7,696.49,696.51,94146.0
SPY,2026-01-28 10:30:00-05:00,696.52,696.79,696.51,696.69,121556.0
SPY,2026-01-28 10:31:00-05:00,696.69,696.75,696.53,696.58,94019.0
SPY,2026-01-28 10:32:00-05:00,696.58,696.63,696.47,696.53,103255.0
SPY,2026-01-28 10:33:00-05:00,696.54,696.65,696.41,696.61,90659.0
SPY,2026-01-28 10:34:00-05:00,696.62,696.69,696.14,696.16,108834.0
SPY,2026-01-28 10:35:00-05:00,696.16,696.33,696.12,696.25,110245.0
SPY,2026-01-28 10:36:00-05:00,696.24,696.63,696.24,696.57,95794.0
SPY,2026-01-28 10:37:00-05:00,696.57,696.64,696.5,696.52,58915.0
SPY,2026-01-28 10:38:00-05:00,696.54,696.67,696.46,696.66,61618.0
SPY,2026-01-28 10:39:00-05:00,696.66,696.73,696.58,696.61,103257.0
SPY,2026-01-28 10:40:00-05:00,696.61,696.64,696.41,696.42,71787.0
SPY,2026-01-28 10:41:00-05:00,696.41,696.41,696.12,696.13,71076.0
SPY,2026-01-28 10:42:00-05:00,696.13,696.22,695.95,696.01,106191.0
SPY,2026-01-28 10:43:00-05:00,696.0,696.16,695.91,696.06,104584.0
SPY,2026-01-28 10:44:00-05:00,696.06,696.1,695.78,695.82,79247.0
SPY,2026-01-28 10:45:00-05:00,695.82,696.03,695.74,695.99,166112.0
SPY,2026-01-28 10:46:00-05:00,696.0,696.07,695.9,695.97,88226.0
SPY,2026-01-28 10:47:00-05:00,695.96,696.0,695.71,695.74,83293.0
SPY,2026-01-28 10:48:00-05:00,695.73,695.91,695.73,695.87,128990.0
SPY,2026-01-28 10:49:00-05:00,695.88,695.94,695.79,695.85,149069.0
SPY,2026-01-28 10:50:00-05:00,695.84,695.9,695.66,695.79,118203.0
SPY,2026-01-28 10:51:00-05:00,695.78,695.8,695.62,695.7,65828.0
SPY,2026-01-28 10:52:00-05:00,695.7,695.88,695.68,695.75,80021.0
SPY,2026-01-28 10:53:00-05:00,695.74,695.81,695.67,695.75,59174.0
SPY,2026-01-28 10:54:00-05:00,695.75,695.9,695.75,695.82,69789.0
SPY,2026-01-28 10:55:00-05:00,695.81,695.96,695.8,695.93,103731.0
SPY,2026-01-28 10:56:00-05:00,695.93,695.94,695.77,695.79,126580.0
SPY,2026-01-28 10:57:00-05:00,695.79,695.79,695.58,695.72,72773.0
SPY,2026-01-28 10:58:00-05:00,695.74,695.76,695.55,695.61,52748.0
SPY,2026-01-28 10:59:00-05:00,695.61,695.72,695.54,695.56,75816.0
SPY,2026-01-28 11:00:00-05:00,695.56,695.78,695.55,695.78,89041.0
SPY,2026-01-28 11:01:00-05:00,695.79,695.96,695.79,695.94,85987.0
SPY,2026-01-28 11:02:00-05:00,695.94,696.08,695.9,695.99,123724.0
SPY,2026-01-28 11:03:00-05:00,695.99,696.0,695.83,695.92,103302.0
SPY,2026-01-28 11:04:00-05:00,695.93,696.13,695.92,696.07,141533.0
SPY,2026-01-28 11:05:00-05:00,696.07,696.1,695.92,695.93,59665.0
SPY,2026-01-28 11:06:00-05:00,695.93,696.19,695.91,696.14,104785.0
SPY,2026-01-28 11:07:00-05:00,696.13,696.33,696.09,696.18,111504.0
