symbol,time,open,high,low,close,volume
SPY,2026-01-30 09:30:00-05:00,691.84,693.25,691.66,692.84,945297.0
SPY,2026-01-30 09:31:00-05:00,692.83,692.85,691.65,691.66,384612.0
SPY,2026-01-30 09:32:00-05:00,691.67,692.41,691.33,692.07,410334.0
SPY,2026-01-30 09:33:00-05:00,692.07,692.79,691.93,692.77,328591.0
SPY,2026-01-30 09:34:00-05:00,692.75,693.33,692.75,693.07,437476.0
SPY,2026-01-30 09:35:00-05:00,693.07,693.39,692.56,693.37,362077.0
SPY,2026-01-30 09:36:00-05:00,693.36,693.52,693.11,693.17,228863.0
SPY,2026-01-30 09:37:00-05:00,693.15,693.2,692.36,692.81,159577.0
SPY,2026-01-30 09:38:00-05:00,692.81,693.28,692.75,692.98,129731.0
SPY,2026-01-30 09:39:00-05:00,692.99,693.54,692.98,693.54,120318.0
SPY,2026-01-30 09:40:00-05:00,693.53,693.71,693.24,693.47,225914.0
SPY,2026-01-30 09:41:00-05:00,693.45,693.49,693.18,693.27,167391.0
SPY,2026-01-30 09:42:00-05:00,693.25,693.49,692.92,693.12,146001.0
SPY,2026-01-30 09:43:00-05:00,693.1,693.1,692.59,692.84,190613.0
SPY,2026-01-30 09:44:00-05:00,692.84,693.0,692.61,692.64,139843.0
SPY,2026-01-30 09:45:00-05:00,692.64,692.77,692.23,692.26,231246.0
SPY,2026-01-30 09:46:00-05:00,692.27,692.38,691.83,692.13,242241.0
SPY,2026-01-30 09:47:00-05:00,692.15,692.78,691.96,692.54,249262.0
SPY,2026-01-30 09:48:00-05:00,692.52,692.67,692.29,692.34,179965.0
SPY,2026-01-30 09:49:00-05:00,692.35,692.95,692.22,692.59,218407.0
SPY,2026-01-30 09:50:00-05:00,692.61,693.3,692.35,692.85,229147.0
SPY,2026-01-30 09:51:00-05:00,692.84,693.29,692.81,693.2,171495.0
SPY,2026-01-30 09:52:00-05:00,693.17,693.28,692.63,692.63,191799.0
SPY,2026-01-30 09:53:00-05:00,692.69,692.72,692.21,692.46,172914.0
SPY,2026-01-30 09:54:00-05:00,692.49,692.5,691.94,692.31,160116.0
SPY,2026-01-30 09:55:00-05:00,692.32,692.69,692.2,692.46,137884.0
SPY,2026-01-30 09:56:00-05:00,692.42,692.93,692.11,692.65,151119.0
SPY,2026-01-30 09:57:00-05:00,692.66,692.72,692.3,692.34,136938.0
SPY,2026-01-30 09:58:00-05:00,692.34,692.46,691.77,691.82,226360.0
SPY,2026-01-30 09:59:00-05:00,691.83,691.83,691.22,691.69,282325.0
SPY,2026-01-30 10:00:00-05:00,691.67,692.16,691.64,691.92,244494.0
