symbol,time,open,high,low,close,volume
SPY,2026-01-27 09:30:00-05:00,694.18,694.31,693.88,694.21,583338.0
SPY,2026-01-27 09:31:00-05:00,694.21,694.34,693.9,693.93,243691.0
SPY,2026-01-27 09:32:00-05:00,693.92,694.2,693.85,694.12,218499.0
SPY,2026-01-27 09:33:00-05:00,694.13,694.19,693.99,694.01,163326.0
SPY,2026-01-27 09:34:00-05:00,694.01,694.25,693.84,694.21,186754.0
SPY,2026-01-27 09:35:00-05:00,694.23,694.37,694.02,694.15,199085.0
SPY,2026-01-27 09:36:00-05:00,694.15,694.15,693.81,693.9,239999.0
SPY,2026-01-27 09:37:00-05:00,693.89,694.0,693.85,693.88,159210.0
SPY,2026-01-27 09:38:00-05:00,693.89,693.95,693.77,693.8,126235.0
SPY,2026-01-27 09:39:00-05:00,693.79,693.88,693.57,693.58,173546.0
SPY,2026-01-27 09:40:00-05:00,693.58,694.08,693.57,694.0,259460.0
SPY,2026-01-27 09:41:00-05:00,694.01,694.24,693.93,694.17,124431.0
SPY,2026-01-27 09:42:00-05:00,694.17,694.4,694.14,694.18,270605.0
SPY,2026-01-27 09:43:00-05:00,694.18,694.25,694.03,694.23,95736.0
SPY,2026-01-27 09:44:00-05:00,694.25,694.25,694.03,694.09,96183.0
SPY,2026-01-27 09:45:00-05:00,694.1,694.37,694.1,694.3,153713.0
SPY,2026-01-27 09:46:00-05:00,694.31,694.41,694.23,694.39,88650.0
SPY,2026-01-27 09:47:00-05:00,694.38,694.46,694.19,694.3,133481.0
SPY,2026-01-27 09:48:00-05:00,694.31,694.48,694.27,694.39,119053.0
SPY,2026-01-27 09:49:00-05:00,694.38,694.56,694.36,694.48,204403.0
SPY,2026-01-27 09:50:00-05:00,694.48,694.79,694.48,694.76,217893.0
SPY,2026-01-27 09:51:00-05:00,694.75,695.02,694.71,694.81,237826.0
SPY,2026-01-27 09:52:00-05:00,694.82,695.01,694.81,694.99,220105.0
SPY,2026-01-27 09:53:00-05:00,694.99,695.35,694.96,695.23,259797.0
SPY,2026-01-27 09:54:00-05:00,695.24,695.33,695.1,695.27,204142.0
SPY,2026-01-27 09:55:00-05:00,695.27,695.48,695.26,695.37,283765.0
SPY,2026-01-27 09:56:00-05:00,695.37,695.44,695.23,695.39,181669.0
