symbol,time,open,high,low,close,volume
SPY,2026-01-26 09:30:00-05:00,690.47,690.67,689.92,690.2,704642.0
SPY,2026-01-26 09:31:00-05:00,690.21,691.19,690.2,691.09,415339.0
SPY,2026-01-26 09:32:00-05:00,691.08,691.19,690.79,690.86,273867.0
SPY,2026-01-26 09:33:00-05:00,690.85,691.29,690.71,691.1,238022.0
SPY,2026-01-26 09:34:00-05:00,691.1,691.33,691.06,691.28,312407.0
SPY,2026-01-26 09:35:00-05:00,691.28,691.73,691.27,691.71,343476.0
SPY,2026-01-26 09:36:00-05:00,691.7,691.91,691.55,691.84,376538.0
SPY,2026-01-26 09:37:00-05:00,691.84,691.93,691.58,691.86,324673.0
SPY,2026-01-26 09:38:00-05:00,691.85,691.98,691.7,691.81,252025.0
SPY,2026-01-26 09:39:00-05:00,691.79,691.81,691.58,691.71,293898.0
SPY,2026-01-26 09:40:00-05:00,691.71,691.87,691.47,691.86,356669.0
SPY,2026-01-26 09:41:00-05:00,691.86,692.25,691.83,692.09,329595.0
SPY,2026-01-26 09:42:00-05:00,692.09,692.12,691.4,691.94,305970.0
SPY,2026-01-26 09:43:00-05:00,691.94,692.16,691.94,692.11,178466.0
SPY,2026-01-26 09:44:00-05:00,692.1,692.29,692.05,692.19,197276.0
SPY,2026-01-26 09:45:00-05:00,692.19,692.44,692.15,692.36,228827.0
SPY,2026-01-26 09:46:00-05:00,692.36,692.55,692.33,692.49,214012.0
SPY,2026-01-26 09:47:00-05:00,692.49,692.51,692.15,692.37,198382.0
SPY,2026-01-26 09:48:00-05:00,692.37,692.42,692.23,692.41,134151.0
SPY,2026-01-26 09:49:00-05:00,692.4,692.47,692.15,692.21,213933.0
SPY,2026-01-26 09:50:00-05:00,692.21,692.32,692.12,692.17,169559.0
SPY,2026-01-26 09:51:00-05:00,692.17,692.38,692.07,692.36,164236.0
SPY,2026-01-26 09:52:00-05:00,692.36,692.57,692.32,692.57,230894.0
SPY,2026-01-26 09:53:00-05:00,692.57,692.63,692.3,692.59,233495.0
SPY,2026-01-26 09:54:00-05:00,692.6,692.6,692.35,692.38,197372.0
SPY,2026-01-26 09:55:00-05:00,692.39,692.5,692.32,692.35,117047.0
SPY,2026-01-26 09:56:00-05:00,692.35,692.54,692.29,692.46,131570.0
SPY,2026-01-26 09:57:00-05:00,692.47,692.63,692.44,692.57,105417.0
SPY,2026-01-26 09:58:00-05:00,692.59,692.62,692.35,692.42,128038.0
SPY,2026-01-26 09:59:00-05:00,692.42,692.49,692.22,692.26,155705.0
SPY,2026-01-26 10:00:00-05:00,692.26,692.33,692.15,692.19,178566.0
SPY,2026-01-26 10:01:00-05:00,692.2,692.29,691.98,692.01,127229.0
SPY,2026-01-26 10:02:00-05:00,692.01,692.37,692.01,692.34,131385.0
SPY,2026-01-26 10:03:00-05:00,692.33,692.34,692.09,692.1,103392.0
SPY,2026-01-26 10:04:00-05:00,692.1,692.31,692.08,692.21,72764.0
SPY,2026-01-26 10:05:00-05:00,692.21,692.31,692.13,692.16,76666.0
SPY,2026-01-26 10:06:00-05:00,692.17,692.39,692.17,692.2,74924.0
SPY,2026-01-26 10:07:00-05:00,692.2,692.28,692.12,692.17,77055.0
SPY,2026-01-26 10:08:00-05:00,692.18,692.32,692.16,692.25,74768.0
SPY,2026-01-26 10:09:00-05:00,692.24,692.24,691.94,691.97,94801.0
SPY,2026-01-26 10:10:00-05:00,691.97,692.1,691.75,692.02,166874.0
SPY,2026-01-26 10:11:00-05:00,692.0,692.21,691.89,692.08,116624.0
SPY,2026-01-26 10:12:00-05:00,692.05,692.15,691.92,692.13,71673.0
SPY,2026-01-26 10:13:00-05:00,692.13,692.59,692.13,692.49,127865.0
SPY,2026-01-26 10:14:00-05:00,692.48,692.67,692.44,692.59,145562.0
SPY,2026-01-26 10:15:00-05:00,692.58,692.69,692.53,692.56,169440.0
SPY,2026-01-26 10:16:00-05:00,692.55,692.76,692.49,692.71,140428.0
SPY,2026-01-26 10:17:00-05:00,692.72,692.91,692.64,692.87,185943.0
SPY,2026-01-26 10:18:00-05:00,692.86,692.95,692.79,692.81,170762.0
SPY,2026-01-26 10:19:00-05:00,692.82,693.14,692.71,693.1,172310.0
SPY,2026-01-26 10:20:00-05:00,693.1,693.3,693.1,693.21,263466.0
SPY,2026-01-26 10:21:00-05:00,693.2,693.39,693.15,693.34,224622.0
SPY,2026-01-26 10:22:00-05:00,693.34,693.34,693.16,693.3,151148.0
SPY,2026-01-26 10:23:00-05:00,693.31,693.4,693.26,693.38,144733.0
SPY,2026-01-26 10:24:00-05:00,693.37,693.38,693.24,693.35,151699.0
SPY,2026-01-26 10:25:00-05:00,693.35,693.36,693.09,693.14,253488.0
SPY,2026-01-26 10:26:00-05:00,693.14,693.14,692.89,692.92,217590.0
SPY,2026-01-26 10:27:00-05:00,692.92,692.97,692.68,692.87,167917.0
SPY,2026-01-26 10:28:00-05:00,692.87,692.97,692.52,692.57,163845.0
SPY,2026-01-26 10:29:00-05:00,692.57,692.67,692.51,692.55,120919.0
SPY,2026-01-26 10:30:00-05:00,692.54,692.65,692.4,692.57,154303.0
SPY,2026-01-26 10:31:00-05:00,692.56,692.61,692.38,692.46,150629.0
SPY,2026-01-26 10:32:00-05:00,692.46,692.75,692.45,692.75,154366.0
SPY,2026-01-26 10:33:00-05:00,692.76,693.07,692.74,692.86,136036.0
SPY,2026-01-26 10:34:00-05:00,692.88,692.97,692.82,692.85,65450.0
SPY,2026-01-26 10:35:00-05:00,692.83,692.87,692.65,692.82,84397.0
SPY,2026-01-26 10:36:00-05:00,692.82,693.02,692.82,692.94,77460.0
SPY,2026-01-26 10:37:00-05:00,692.95,692.98,692.84,692.86,93043.0
