entry_time,spy_price,spx_price,net_credit,exit_time,exit_spy_price,exit_spx_price,profit,profit_pct,minutes_held
2026-01-26 09:58:00-05:00,692.42,6946.57,445.0000000000001,2026-01-26 10:11:00-05:00,692.08,6943.9,85.00000000000011,19.10112359550564,13.0
2026-01-26 09:54:00-05:00,692.38,6947.75,439.9999999999999,2026-01-26 10:11:00-05:00,692.08,6943.9,79.99999999999989,18.18181818181816,17.0
2026-01-26 10:43:00-05:00,692.29,6946.46,430.0000000000002,2026-01-26 10:44:00-05:00,692.31,6946.11,35.00000000000023,8.13953488372098,1.0
2026-01-26 09:51:00-05:00,692.36,6947.1,430.0000000000002,2026-01-26 10:11:00-05:00,692.08,6943.9,70.00000000000023,16.279069767441907,20.0
2026-01-26 11:19:00-05:00,692.48,6948.49,430.0,2026-01-26 11:20:00-05:00,692.25,6946.6,15.0,3.488372093023256,1.0
2026-01-26 09:46:00-05:00,692.49,6948.99,429.9999999999999,2026-01-26 10:11:00-05:00,692.08,6943.9,69.99999999999989,16.27906976744184,25.0
