id,date,snapshot_time,spy_price,spx_price,spy_call_strike,spy_call_bid,spy_call_ask,spy_put_strike,spy_put_bid,spy_put_ask,spx_call_strike,spx_call_bid,spx_call_ask,spx_put_strike,spx_put_bid,spx_put_ask,expiration
1,2026-01-26,10:29:28,693.03,6953.72,693.0,0.62,0.63,693.0,0.54,0.55,6955.0,4.9,5.0,6955.0,5.7,5.9,20260126
2,2026-01-26,10:31:15,692.96,6953.19,693.0,0.57,0.58,693.0,0.58,0.59,6955.0,4.4,4.5,6955.0,6.2,6.3,20260126
3,2026-01-26,10:36:29,693.57,6959.16,694.0,0.32,0.33,694.0,0.8,0.82,6960.0,4.4,4.5,6960.0,6.0,6.1,20260126
4,2026-01-26,10:41:44,693.67,6960.39,694.0,0.38,0.39,694.0,0.69,0.7,6960.0,5.2,5.3,6960.0,5.3,5.4,20260126
5,2026-01-26,10:46:59,694.04,6964.28,694.0,0.54,0.55,694.0,0.51,0.52,6965.0,4.2,4.3,6965.0,5.6,5.7,20260126
6,2026-01-26,10:52:14,693.82,6961.98,694.0,0.4,0.41,694.0,0.59,0.6,6960.0,5.7,5.8,6960.0,4.1,4.3,20260126
